First Name,Last Name,Country,Gender
William,Garland,Japan,M
James,Gerald,,M
Charles,Herschel,Mexico,M
George,Hezekiah,India,M
Frank,Justus,Brazil,F
Joseph,Lindsey,India,M
Thomas,Marcellus,China,M
Henry,Olaf,India,M
Robert,Olin,United States,M
Edward,Pablo,,M
Harry,Rolland,Argentina,F
Walter,Turner,,F
Arthur,Verne,,F
Fred,Volney,Brazil,M
Albert,Williams,Japan,M
Samuel,Almon,China,M
David,Alois,Philippines,F
Louis,Alonza,Russia,F
Joe,Anson,Turkey,F
Charlie,Authur,France,M
Clarence,Benton,"Korea, South",M
Richard,Billie,,M
Andrew,Cornelious,,M
Daniel,Darius,,F
Ernest,Denis,United States,F
Will,Dillard,,M
Jesse,Doctor,Peru,M
Oscar,Elvin,Iran,F
Lewis,Emma,Congo (Kinshasa),M
Peter,Eric,Colombia,F
Benjamin,Evans,China,M
Frederick,Gideon,China,M
Willie,Haywood,Hong Kong,M
Alfred,Hilliard,China,F
Sam,Hosea,India,F
Roy,Lincoln,Taiwan,M
Herbert,Lonzo,India,F
Jacob,Lucious,Thailand,M
Tom,Lum,Pakistan,M
Elmer,Malachi,China,M
Carl,Newt,United States,M
Lee,Noel,India,M
Howard,Orie,United States,F
Martin,Palmer,Chile,M
Michael,Pinkney,United States,M
Bert,Shirley,Brazil,M
Herman,Sumner,Spain,M
Jim,Terry,United States,F
Francis,Urban,India,M
Harvey,Uriah,Vietnam,M
Earl,Valentine,United States,M
Eugene,Waldo,United States,M
Ralph,Warner,Canada,F
Ed,Wong,Singapore,M
Claude,Zeb,,M
Edwin,Abel,Iraq,F
Ben,Alden,Spain,F
Charley,Archer,,F
Paul,Avery,China,F
Edgar,Carson,Sudan,F
Isaac,Cullen,India,M
Otto,Doc,United States,F
Luther,Eben,Australia,F
Lawrence,Elige,Russia,M
Ira,Elizabeth,Bangladesh,M
Patrick,Elmore,China,M
Guy,Ernst,Saudi Arabia,M
Oliver,Finis,Vietnam,M
Theodore,Freddie,Mexico,M
Hugh,Godfrey,Australia,M
Clyde,Guss,Egypt,M
Alexander,Hamp,China,M
August,Hermann,Burma,F
Floyd,Isadore,United States,M
Homer,Isreal,China,M
Jack,Jones,Brazil,M
Leonard,June,India,F
Horace,Lacy,,M
Marion,Lafe,C̫te D�۪Ivoire,M
Philip,Leland,Brazil,M
Allen,Llewellyn,Turkey,M
Archie,Ludwig,Mexico,F
Stephen,Manford,Japan,M
Chester,Maxwell,China,M
Willis,Minnie,Canada,F
Raymond,Obie,China,M
Rufus,Octave,Brazil,F
Warren,Orrin,United States,F
Jessie,Ossie,China,M
Milton,Oswald,United States,M
Alex,Park,,M
Leo,Parley,China,M
Julius,Ramon,United States,F
Ray,Rice,Brazil,M
Sidney,Stonewall,"Korea, South",F
Bernard,Theo,South Africa,F
Dan,Tillman,Germany,M
Jerry,Addie,Algeria,M
Calvin,Aron,Italy,M
Perry,Ashley,"Korea, North",M
Dave,Bernhard,Colombia,F
Anthony,Bertie,Afghanistan,F
Eddie,Berton,Greece,M
Amos,Buster,Japan,F
Dennis,Butler,South Africa,M
Clifford,Carleton,,M
Leroy,Carrie,China,M
Wesley,Clara,Morocco,M
Alonzo,Clarance,,F
Garfield,Clare,,M
Franklin,Crawford,,M
Emil,Danial,Israel,M
Leon,Dayton,Ethiopia,M
Nathan,Dolphus,Brazil,F
Harold,Elder,China,F
Matthew,Ephriam,Saudi Arabia,M
Levi,Fayette,Kenya,M
Moses,Felipe,China,F
Everett,Fernando,South Africa,F
Lester,Flem,Venezuela,M
Winfield,Florence,Italy,M
Adam,Ford,Germany,M
Lloyd,Harlan,China,F
Mack,Hayes,Tanzania,F
Fredrick,Henery,United States,M
Jay,Hoy,India,M
Jess,Huston,China,M
Melvin,Ida,,M
Noah,Ivory,China,M
Aaron,Jonah,,M
Alvin,Justin,Portugal,M
Norman,Lenard,Philippines,F
Gilbert,Leopold,Russia,M
Elijah,Lionel,Turkey,F
Victor,Manley,France,M
Gus,Marquis,"Korea, South",M
Nelson,Marshal,Nigeria,M
Jasper,Mart,Indonesia,M
Silas,Odie,China,M
Christopher,Olen,United States,M
Jake,Oral,United Kingdom,F
Mike,Orley,Peru,M
Percy,Otha,Iran,F
Adolph,Press,Congo (Kinshasa),M
Maurice,Price,Colombia,M
Cornelius,Quincy,China,F
Felix,Randall,China,M
Reuben,Rich,Hong Kong,M
Wallace,Richmond,,M
Claud,Romeo,India,M
Roscoe,Russel,,F
Sylvester,Rutherford,India,M
Earnest,Shade,Thailand,M
Hiram,Lonzo,Pakistan,M
Otis,Lucious,China,M
Simon,Lum,United States,F
Willard,Malachi,India,M
Irvin,Newt,United States,M
Mark,Noel,Chile,M
Jose,Orie,United States,M
Wilbur,Palmer,Brazil,F
Abraham,Pinkney,Spain,M
Virgil,Shirley,United States,M
Clinton,Sumner,India,M
Elbert,Terry,Vietnam,M
Leslie,Urban,United States,M
Marshall,Uriah,United States,M
Owen,Valentine,Canada,M
Wiley,Waldo,Singapore,M
Anton,Warner,,M
Morris,Wong,,F
Manuel,Zeb,Spain,M
Phillip,Abel,India,M
Augustus,Alden,China,F
Emmett,Archer,Sudan,M
Eli,Lonzo,India,M
Nicholas,Lucious,United States,F
Wilson,Lum,Australia,M
Alva,Malachi,,F
Harley,Newt,Bangladesh,M
Newton,Noel,China,M
Timothy,Orie,Saudi Arabia,M
Marvin,Palmer,,F
Ross,Pinkney,Mexico,F
Curtis,Shirley,Australia,F
Edmund,Sumner,Egypt,M
Jeff,Terry,China,M
Elias,Urban,Burma,M
Harrison,Uriah,United States,M
Stanley,Valentine,China,F
Columbus,Waldo,Brazil,M
Lon,Warner,,F
Ora,Wong,China,M
Ollie,Zeb,,F
Russell,Abel,Brazil,F
Pearl,Alden,Turkey,M
Solomon,Archer,Mexico,M
Arch,Manuel,Japan,F
Asa,Phillip,China,M
Clayton,Augustus,Canada,F
Enoch,Emmett,China,M
